NumBomba,Encerrante,Ativo,InativoEm,DiferencaPreco,NumeroBomba,Canal,Id,IdPosto,IdTanque,NumeroSerie,Fabricante,Modelo,TipoMedicao,LimiteEncerrante,PrecoDiferenciado,CasasDecPreco
4,1.0,,0,0,4,10,D9D43E1C-A3E7-403E-9CF6-71EDB28C5F42,5CD12206-6AE1-4F13-AE76-F92BD1657203,0F640799-5042-4737-BCC6-F4770E76A1C8,133.605,Wayne,3G 2203,1.0,1000000.0,0.0,
24,1.0,,0,0,5,14,50E415FD-0568-4603-8DD0-042867590314,5CD12206-6AE1-4F13-AE76-F92BD1657203,E326483D-27FC-4488-B6B5-19DDD8CC561E,17160615,STRATEMA,PHX -2220,1.0,1000000.0,7.12,
84,1.0,,0,0,3,0D,178C4BCC-B5BD-4C32-B609-945A6C3E374E,5CD12206-6AE1-4F13-AE76-F92BD1657203,0F640799-5042-4737-BCC6-F4770E76A1C8,133.608,Wayne,3G 2203,1.0,1000000.0,4.46,
95,1.0,,0,0,2,09,277D5862-C547-4F39-BFD9-6AF5B300EE6B,5CD12206-6AE1-4F13-AE76-F92BD1657203,F552A2A0-2733-444E-8C17-309402FE202E,133.609,Wayne,3G 2203,1.0,1000000.0,5.88,
5,1.0,,0,0,5,15,414D4B50-8B8F-45C3-A3D8-D5B8F54A396D,5CD12206-6AE1-4F13-AE76-F92BD1657203,E326483D-27FC-4488-B6B5-19DDD8CC561E,17160615,STRATEMA,PHX -2220,1.0,1000000.0,6.96,
53,1.0,,0,0,2,08,BF5DDDD4-2C62-4820-8863-1FB14583E6F0,5CD12206-6AE1-4F13-AE76-F92BD1657203,0F640799-5042-4737-BCC6-F4770E76A1C8,133.609,Wayne,3G 2203,1.0,1000000.0,3.96,
99,1.0,,0,0,4,11,A941138F-0D2A-45DA-A5FB-D43B2DC6096E,5CD12206-6AE1-4F13-AE76-F92BD1657203,F552A2A0-2733-444E-8C17-309402FE202E,133.605,Wayne,3G 2203,1.0,1000000.0,0.0,
59,1.0,,0,0,1,05,9B2EE48B-C58F-455C-BCFB-64CE19F7E7B8,5CD12206-6AE1-4F13-AE76-F92BD1657203,F552A2A0-2733-444E-8C17-309402FE202E,133.607,Wayne,3G 2203,1.0,1000000.0,5.88,
3,1.0,,0,0,3,0C,F52B0BB0-3549-4DED-820E-A9011C422A04,5CD12206-6AE1-4F13-AE76-F92BD1657203,CFCE082B-B932-4CDF-93F5-45CF86F2FA58,133.608,Wayne,3G 2203,1.0,1000000.0,3.999,
93,1.0,,0,0,1,04,849D5741-2AF7-4101-8666-77D37BA78D8F,5CD12206-6AE1-4F13-AE76-F92BD1657203,0F640799-5042-4737-BCC6-F4770E76A1C8,133.607,Wayne,3G 2203,1.0,1000000.0,3.96,
