id,CFOP,NaturezaOperacao,Descricao,Ativo
29557F92-AE17-4094-91A4-0BB768433266,1000,ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO ESTADO,Classificam-se,neste grupo
58029E51-12A4-489F-BA38-DE999A862A8D,1100,COMPRAS PARA INDUSTRIALIZAÇÃO,COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS,NULL
B895298E-CC6E-4786-9B68-959F76E74800,1101,Compra para industrialização,Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização. Também serão classificadas neste código as entradas de mercadorias em estabelecimento industrial de cooperativa recebidas de seus cooperados ou de est,0
DC5259A1-03AF-4A19-B858-BD7771D82B6A,1102,Compra para comercialização,Classificam-se neste código as compras de mercadorias a serem comercializadas. Também serão classificadas neste código as entradas de mercadorias em estabelecimento comercial de cooperativa recebidas de seus cooperados ou de estabelecimento de outra cooper,0
7E1DB6AA-7C0F-46FA-8197-FA8C0F9F3F16,1111,Compra para industrialização de mercadoria recebida anteriormente em consignação industrial,Classificam-se neste código as compras efetivas de mercadorias a serem utilizadas em processo de industrialização,recebidas anteriormente a título de consignação industrial.
A4CD0923-2F2F-486B-879A-992B63DD2EB9,1113,Compra para comercialização de mercadoria recebida anteriormente em consignação mercantil,Classificam-se neste código as compras efetivas de mercadorias recebidas anteriormente a título de consignação mercantil.,0
80A1CC94-9038-44F9-9F8F-9F09F372F7CB,1116,Compra para industrialização originada de encomenda para recebimento futuro,Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização,quando da entrada real da mercadoria
0957C183-A1AA-4FFE-9F05-93B73CCB305E,1117,Compra para comercialização originada de encomenda para recebimento futuro,Classificam-se neste código as compras de mercadorias a serem comercializadas,quando da entrada real da mercadoria
1A3FA57C-7CAA-4C04-8C44-8DDE53F20ADB,1118,Compra de mercadoria para comercialização pelo adquirente originário,entregue pelo vendedor remetente ao destinatário,em venda à ordem
FE2C3A2A-D61F-42F7-92F1-55EA6D2A81D6,1120,Compra para industrialização,em venda à ordem,já recebida do vendedor remetente
E1B54172-5363-48F8-97A3-CE2DC026BBDF,1121,Compra para comercialização,em venda à ordem,já recebida do vendedor remetente
F6FE3CE2-D633-490F-A0E3-5C1E4430E758,1126,Compra para utilização na prestação de serviço,Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços.,0
C7F9AB87-098F-4A71-AB7A-0F82D738532E,1150,TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO,COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS,NULL
486A5011-11AC-4063-895B-A1283B550040,1200,DEVOLUÇÕES DE VENDAS DE PRODUÇÃO PRÓPRIA,DE TERCEIROS OU ANULAÇÕES DE VALORES,NULL
92B95180-AF17-44A5-B509-BA4E91414B6A,1250,COMPRAS DE ENERGIA ELÉTRICA,NULL,0
1EF397A0-3E5B-42F8-91BD-F1861BF8ACBF,1256,Compra de energia elétrica por estabelecimento de produtor rural,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.,0
3FDE530D-DD61-4CD1-8314-1EB485AE9728,1122,Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente,Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização,remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.
