TCaixa,Dia,DataAbertura,DataFechamento,PodeFechar,PrimeiroAcesso,Id,IdPosto,IdEntidade,Troco,IdPontoVenda
3,2012-05-08 00:00:00,2012-05-08 00:00:00.000,2012-05-08 00:00:00.000,0,1,8D782DE4-4E2F-4A0E-B350-E3F765A906BF,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,0D1087A7-8475-49E6-87B5-3796611CF50D,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2012-05-09 00:00:00,2012-05-09 00:00:00.000,2012-05-17 14:49:21.000,1,0,9759B064-AE2A-44D3-9B16-21B88EB702BB,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,0D1087A7-8475-49E6-87B5-3796611CF50D,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-01-21 00:00:00,2013-01-21 00:35:32.000,2013-01-21 05:34:56.000,1,0,CACC5D33-40AC-4A28-9676-060CF84E8D93,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,52A9A2A2-B0AB-41A9-A560-3052EFD46412,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2013-01-22 00:00:00,2013-01-21 13:37:34.000,2013-01-21 21:12:20.000,1,0,CF6ECB52-D38F-43B2-A8AD-C1DE5C1A7A61,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,E537E1F9-008E-44BB-82A5-7600D379A099,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2013-01-22 00:00:00,2013-01-22 09:52:25.000,2013-01-22 13:28:17.000,1,0,103A9EFB-5A94-4C86-BC43-22EB6AB1D190,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,8961C396-03EF-4CC4-84FB-8D9180DA8F1B,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-01-25 00:00:00,2013-01-24 22:03:09.000,2013-01-25 05:41:23.000,1,0,23378F42-D43D-4013-921C-584F2AB41395,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,E537E1F9-008E-44BB-82A5-7600D379A099,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2013-01-26 00:00:00,2013-01-25 13:50:39.000,2013-01-25 22:08:22.000,1,0,C8675A58-5D34-435C-81C9-C13BB7A07FF2,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,9AE0F007-17D6-4B54-97A8-A62557E4F7C6,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2012-05-09 00:00:00,2012-05-17 14:49:21.000,2012-05-26 14:12:41.000,1,0,8578EAA9-8A86-4AD3-92C2-F56E188BE528,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,0D1087A7-8475-49E6-87B5-3796611CF50D,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2013-01-26 00:00:00,2013-01-25 22:08:22.000,2013-01-26 05:54:42.000,1,0,EFB76178-7F87-453F-8457-6CF1847F5165,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,52A9A2A2-B0AB-41A9-A560-3052EFD46412,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2013-01-26 00:00:00,2013-01-26 05:54:42.000,2013-01-26 13:42:42.000,1,0,C8977009-059B-4A4F-B77E-BD8B6E9E55F3,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,B3FCD11C-B416-42C4-ADAC-0BB5982890AF,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2013-01-27 00:00:00,2013-01-26 13:42:42.000,2013-01-26 21:57:40.000,1,0,EC8C4068-CEE9-428C-A4A0-D4867D8D14FA,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,E537E1F9-008E-44BB-82A5-7600D379A099,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2013-01-28 00:00:00,2013-01-27 13:30:47.000,2013-01-27 22:23:25.000,1,0,C6E3B4C3-81F8-4E89-BE5F-3D12B363420A,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,E537E1F9-008E-44BB-82A5-7600D379A099,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2012-05-09 00:00:00,2012-05-26 14:12:41.000,2012-05-26 15:10:39.000,1,0,578D00CB-CCC2-41E1-962C-DAE434FC0701,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,8961C396-03EF-4CC4-84FB-8D9180DA8F1B,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2012-05-10 00:00:00,2012-05-26 15:10:39.000,2012-05-26 15:23:15.000,1,0,ECB4E9DF-57AD-442D-BBEA-66A15B979D66,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,8961C396-03EF-4CC4-84FB-8D9180DA8F1B,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
2,2012-05-10 00:00:00,2012-05-26 15:23:15.000,2012-05-26 15:38:28.000,1,0,2CF57A10-FA3F-4547-9148-9D49982D70A7,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,0D1087A7-8475-49E6-87B5-3796611CF50D,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
1,2012-05-30 00:00:00,2012-05-29 13:34:05.000,2012-05-29 22:02:26.000,1,0,8AFDA45F-35D0-477A-B277-34B3CE08CD6F,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,CE56837A-79FC-40BD-9649-3B4102E6C965,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
3,2013-01-28 00:00:00,2013-01-28 09:29:28.000,2013-01-28 14:27:26.000,1,0,43835F96-88D3-490D-A15A-182CB5D9BE78,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,CE56837A-79FC-40BD-9649-3B4102E6C965,0.0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3
