TipoLeitura,idObjeto,ValorCalculado,ValorLido,Id,IdCaixa,PrecoProduto
B,3,906419,05,906419,05,C012F29F-393E-43D0-94F9-85700B43A2C0
B,12,467386,46,467386,46,EF54DA74-9721-4128-B2AE-F3B9F1AFC5A2
T,1,9509,9509,FC6F1FF3-DC70-48EE-974F-3C51E28B5F58,AB00AEA2-4456-40D0-96E0-D31E449626AA,3
T,4,25772,25772,C6C1DD9D-2A2A-45EE-B3EB-034C8DC0A516,AB00AEA2-4456-40D0-96E0-D31E449626AA,3
B,8,2713055,71,2713055,71,D5D59465-D2B6-4B81-9FEC-18E49183D317
B,5,1388170,26,1388170,26,0D4620BC-3BB9-4519-9C16-AA86B8307AA6
B,6,1232881,04,1232881,04,2BAE1C7B-69E8-4E36-9E6C-305FABDF1AC6
B,9,801789,72,801789,72,064B9BE6-04D5-49BC-BD69-2FB21EB78173
B,2,1700096,43,1700096,43,0AA81746-E794-4E33-8031-6C510FF9D33E
B,7,1387722,43,1387722,43,E6F8609C-3656-41E6-BDF2-67E57E900307
B,10,500204,86,500204,86,6976D30E-5F74-40B5-BA92-B2343E4328FC
T,2,12360,12360,897C4452-C203-4E5A-BC49-144D855B1744,AB00AEA2-4456-40D0-96E0-D31E449626AA,3
B,1,2286504,14,2286504,14,FF88EBB3-EDB3-4F46-A237-4C56CBF3835A
B,4,877192,12,877192,12,6BD4C18D-1EEC-43D3-9A81-997CB6B8D9C0
T,5,12886,12886,358EE9F7-57DE-430D-95B1-BC886D47C5B7,AB00AEA2-4456-40D0-96E0-D31E449626AA,3
T,3,11961,11961,7C4A120A-DF33-4B5F-A29A-744CCC791610,AB00AEA2-4456-40D0-96E0-D31E449626AA,3
B,11,292917,8,292917,8,93BF1ECD-DB76-452C-AAA8-723194A68313
T,1,8759,31,8759,31,1E2EC161-E3B2-4A1F-AE3A-ABAE00D8EC85
T,2,0,12155,61,ECAC2EC2-232D-4E0D-A782-ABAE00D8EC89,A366EB0C-0875-4A41-B736-96430F7253A7
T,3,11287,77,11287,77,FE795DBA-0246-43F8-BBAF-ABAE00D8EC8E
T,1,7513,7513,24,7845FEE4-AB0C-49F3-9E7D-ABAF00E3B858,7C9B64FD-DBEB-44CF-9434-ABAE01479E2E
T,2,11752,11752,04,9824917A-1092-4811-8CEF-ABAF00E3B85B,7C9B64FD-DBEB-44CF-9434-ABAE01479E2E
T,3,9715,9714,58,63F0C7E1-29BD-4460-AA97-ABAF00E3B862,7C9B64FD-DBEB-44CF-9434-ABAE01479E2E
T,4,25154,25154,27,5C465551-7C4A-4C7B-886A-ABAF00E3B867,7C9B64FD-DBEB-44CF-9434-ABAE01479E2E
T,5,12733,12732,81,2574EAEA-3D71-4959-8273-ABAF00E3B86D,7C9B64FD-DBEB-44CF-9434-ABAE01479E2E
B,1,2287465,38,2287465,38,E7D0B376-22F6-4438-882B-ABAF00E3B870
B,2,1701099,21,1701099,21,A6EC7E91-F6FA-4CB7-BC7D-ABAF00E3B873
B,3,907240,96,907240,96,23F4F819-6623-427E-A9AE-ABAF00E3B876
B,4,877963,37,877963,37,9A8A8BF2-725D-41C9-9928-ABAF00E3B879
B,5,1388778,22,1388778,22,809D7D29-7DAB-488F-99E3-ABAF00E3B87C
B,6,1233192,46,1233192,46,3D661387-355E-42A6-81C4-ABAF00E3B87F
B,7,1387832,74,1387832,74,67C27510-37B1-415A-8EA7-ABAF00E3B882
B,8,2713120,98,2713120,98,44AC4E59-A6FC-474F-8065-ABAF00E3B885
B,9,802275,46,802275,46,8A3B8261-CFC6-48C1-9147-ABAF00E3B888
B,10,500336,85,500336,85,B6D475EF-6B71-4F60-89ED-ABAF00E3B88B
B,11,293070,85,293070,85,A26F0C3F-6A78-4B6B-8E72-ABAF00E3B88F
B,12,467386,6,467386,6,E970676E-4EF3-49EC-A3AC-ABAF00E3B892
T,1,7011,6845,22,FF0EF53E-B9EF-48E8-AF93-ABAF0144C1B1,82E65D11-FDA2-4E32-A212-ABAF00E3B89E
T,2,11481,11551,99,6E17BB32-33FE-4603-8A8C-ABAF0144C1B4,82E65D11-FDA2-4E32-A212-ABAF00E3B89E
T,3,13311,9010,36,E75AFCFC-8BA3-40A2-A3A0-ABAF0144C1BB,82E65D11-FDA2-4E32-A212-ABAF00E3B89E
T,4,28395,23349,76,9E191920-3A00-45EC-8181-ABAF0144C1C0,82E65D11-FDA2-4E32-A212-ABAF00E3B89E
T,5,12685,12732,81,9EE3ECA6-5DD1-458E-AFEB-ABAF0144C1C6,82E65D11-FDA2-4E32-A212-ABAF00E3B89E
B,1,2287813,55,2287813,55,F45BAB10-89EE-4C44-B5EF-ABAF0144C1CA
B,2,1701444,2,1701444,2,70179631-6018-48F3-B7FE-ABAF0144C1CD
B,3,907461,58,907461,58,28269214-E489-4A5E-BBC2-ABAF0144C1D0
B,4,878256,03,878256,03,B4919243-56E3-4F90-B939-ABAF0144C1D3
B,5,1388978,27,1388978,27,F48D0D3F-48BD-4CD7-9486-ABAF0144C1D6
B,6,1233313,04,1233313,04,23907C1A-A143-4328-8F3D-ABAF0144C1D9
B,7,1387850,77,1387850,77,F0797A21-F4C8-4477-8568-ABAF0144C1DC
B,8,2713148,17,2713148,17,8E5F0649-CE82-4C22-9F2D-ABAF0144C1DF
,,,,,,
(50 rows affected),,,,,,
,,,,,,
,,,,,,
Completion time: 2024-05-22T10:04:13.5075116-03:00,,,,,,
