Placa,Compartimento,Id,IdTransportadora,Ativo
PXM-7155,,25684CAC-425A-4841-8910-ABC701128321,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,0
PXH-3280,,FAD03C35-3064-4080-AADB-ABC80108C23C,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,0
CUD  8915,7 BOCA DE 5,1D7EB268-8382-4550-A711-AC0600FDFC24,85CA8424-1EB5-4DB0-AE4B-ABC00117F462,0
CUD  8915,7 BOCA DE 5,9A861B34-8E12-497C-92A2-AC0801187F4E,85CA8424-1EB5-4DB0-AE4B-ABC00117F462,1
FPH7778,7 BOCA DE 5,82E7BE07-69AD-4ACB-8303-AC0801187F55,85CA8424-1EB5-4DB0-AE4B-ABC00117F462,1
FPH-7778,,164FA18E-C97D-4975-AADC-AC1B01091A6B,32CD6198-96EC-4347-B9DF-ABC0011693B8,1
QPX-2233,13/12/10/5/5,CF5B08DE-DB01-445A-B5F4-AD89010FC9F2,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,0
RFK-6i67,10/9/8/7/6/5,83DC5462-0969-4B92-BB6B-AD89010FCA00,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
QXC-9184,10/5/10/5/10/5,F91AB8BA-F62E-44BE-8950-AE1300BBCBF8,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
CUD-8915,,46F86925-56FE-4BE4-BD67-AE7C01283ACC,32CD6198-96EC-4347-B9DF-ABC0011693B8,0
CUD-8915,,D19F7919-2EDE-4161-9CB7-AE7C01283FCA,32CD6198-96EC-4347-B9DF-ABC0011693B8,1
QPX-2233,13/12/10/5/5,54AA561A-6ED2-4F51-83BD-AE9100EE7CC9,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
QQF - 6151,10.000/ 10.000/ 10.000/ 10.000/ 5.000,08DB1C0E-778F-4AB9-AAAE-AECB008D64B3,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
RUT8D97 / RUT8D98,10.000/ 8.000/ 7.000,003688C0-8D71-4235-A3D7-AEF600B8538E,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
QXA-9572,10.000/5.000/10.000/5.000/10.000/5.000,BAD18DCB-ED47-4688-9012-AFAF010A9E7F,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,0
QXA-9572,10.000/5.000/10.000/5.000/10.000/5.000,D07D0FCB-C526-4AB0-9AE0-AFAF010AA5BE,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
CXA-4F88,6X5,6F613775-1A92-4999-99DB-AFB901132594,6B541FBF-8900-4703-812C-AFB900FEB78E,1
CVN6140,30.000,49BF11EB-8E42-4EE6-963B-B03700C7FDD0,E2BAFEFB-3D88-4582-98C6-B03700C28C9E,0
CVN6140,30.000,F99C7AFF-3052-474F-B4AA-B03700C8016F,E2BAFEFB-3D88-4582-98C6-B03700C28C9E,0
CVN6140,30.000,B4E6F020-5B03-4B0D-93C7-B03700C8E35E,E2BAFEFB-3D88-4582-98C6-B03700C28C9E,1
RFK6I67,45.000,197177BD-C776-4A82-B550-B05000DF812D,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
RUT8D97/RUT8D98,60.000,DC9385E4-B6A7-485B-92BD-B05000DF812D,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
QXC9184,45.000,8C4ECEB0-2435-4599-B78E-B05000DF8132,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
QQF6151,45.000,F646720B-5ACD-4838-88A3-B05000DF8137,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
QPX2233,45.000,4A6873FA-0A24-4DCD-ACA4-B05000DF8137,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
QXA9572,45.000,59ADAC78-3636-4FEF-A7C8-B05000DF813B,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
RFK6I67,45.000,A8C53CA5-701F-4BDB-B1DA-B05000DF8190,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
RUT8D97/RUT8D98,60.000,795B485B-1A05-4072-BDB9-B05000DF8195,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
QXC9184,45.000,29ED2040-EF7F-47EE-B27E-B05000DF8195,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
QQF6151,45.000,1B67132C-1277-483B-A453-B05000DF819A,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
QPX2233,45.000,0C9E9157-6D5C-4C9B-97E2-B05000DF819A,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
QXA9572,45.000,BEFF4076-DDBD-4788-84D1-B05000DF819E,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
XXX,,D2F7C361-AE8A-4BE4-A5FD-B0ED011DB915,474EA0BF-719D-4D0B-8FBD-B0ED011C2EF2,1
FOK 2886,5 BOCA DE 5,4D35DF89-BA4E-48E2-A589-AC080118EFBA,85CA8424-1EB5-4DB0-AE4B-ABC00117F462,1
OVS8630,3 BOCA DE 3,738400FA-6200-4A3B-9A6D-AC080118EFBF,85CA8424-1EB5-4DB0-AE4B-ABC00117F462,1
