Descricao,UF,CodigoIBGE,DestinoFrete,cUF,Id
Paulínia,SP,3536505,0,35,4AC9E5B2-828F-4AC4-BF3F-9A1EEE1951CA
Conchal,SP,3512209,0,35,FC1B9861-A520-4028-A054-2BA46A66C7AB
Aguaí,SP,3500303,0,35,A948A617-BDE1-4969-83C3-2D2A6CCDAE73
Caconde,SP,3508702,0,35,2681EFFB-8AFE-4D38-B7E1-FB6990838F50
Mococa,SP,3530508,0,35,8C1335CA-E03E-4C45-9A60-0F87CFE782A4
Americana,SP,3501608,0,35,53D48DD2-6FCF-4884-8ADF-D81109B2B83C
Cosmópolis,SP,3512803,0,35,427A9CFA-C9BD-4717-B8DA-0F670177B1C9
Campinas,SP,3509502,0,35,B26E3AEA-A083-420A-9813-BDABB2D75F16
São Paulo,SP,3550308,0,35,BD7D6396-F283-4425-9233-9363B70FE36E
São João da Boa Vista,SP,3549102,0,35,4507B838-ACAF-4883-935F-1D6694FD8B8B
Franca,SP,3516200,0,35,6F3CC929-3E01-4CC8-A0FD-F7A65AD09CAC
Descalvado,SP,3513702,0,35,53B0552F-0DFF-4738-BC2F-18A98FE657BD
Mogi Guaçu,SP,3530706,0,35,760303FA-9635-44C1-8B8F-8F92B7E97AFD
Santa Rita do Passa Quatro,SP,3547502,0,35,3D810AA7-8E32-44DE-BFFC-997383BEF443
Barueri,SP,3505708,0,35,A99840F0-C0F6-45F0-9453-700130D83FE2
Rio de Janeiro,RJ,3304557,0,33,5DC8D742-8FBB-4797-9975-BEDD29453E99
Tambaú,SP,3553302,0,35,7734176D-E08B-48E4-915D-04FDF746EA0F
Casa Branca,SP,3510807,0,35,0CADF59E-7178-4651-B0FD-3CDB25F6B293
Uberlândia,MG,3170206,0,31,7D5BFA64-10B4-41CA-927F-5BC4494CA40E
Santo Antonio do Pinhal,SP,3548203,0,35,E72339D2-D77B-42EF-9892-524869EED83A
Catanduva,SP,3511102,0,35,8D3A6D10-16EB-43CA-BD40-48B3A8B4E38A
São Sebastião da Grama,SP,3550803,0,35,3EDB494F-5106-47EC-9669-B65EA93734F3
Guaranésia,MG,3128303,0,31,68473663-6B27-4B53-9E76-35097BBE7AD7
Monte Belo,MG,3143005,0,31,41B36E37-99DE-4EC4-A76C-FC5FEE1649BD
São José do Rio Pardo,SP,3549706,0,35,35C2EECA-D5A1-4F08-B26A-03A138875F43
Ribeirão Preto,SP,3543402,0,35,DD2826DC-67D4-4799-B5AA-C311F3C42125
Jaguariúna,SP,3524709,0,35,D8CFF5AA-5E2B-45A1-B3C7-E862812EB5E6
Porto Alegre,RS,4314902,0,43,0C706526-1319-424B-9FFF-BEB7F511B8C5
Rio Claro,SP,3543907,0,35,C7859288-02A1-43C3-BF90-97AF22CFBEB8
Amparo,SP,3501905,0,35,2426E998-AD49-4E2A-9C8B-9EF0A4C8A420
Machado,MG,3139003,0,31,8E9E2036-BA88-4312-B9B3-9A7197E41FE4
Mombuca,SP,3530904,0,35,DF357602-E27B-4784-A7CE-F86526D19756
Santo André,SP,3547809,0,35,0BE7D752-D003-4CAC-A6BB-D6810623F38B
Araras,SP,3503307,0,35,6BA1F8A6-572E-4628-A37C-B098597075CE
ARCEBURGO,MG,3104106,0,31,B8235893-3884-48FB-8810-F57C21491090
Cotia,SP,3513009,0,35,A0C4A307-12B7-46CB-B8B4-FA04001FF897
São Jose do Rio Preto,SP,3549805,0,35,42C37D90-EC0B-4878-A998-0F4CF7096993
Alta Floresta D'Oeste,RO,1100015,0,11,35C7DE1D-77E9-4A6B-875F-5CEC6BD3C831
Ariquemes,RO,1100023,0,11,EE65EA43-6FA2-495F-9295-0B72F355A7E7
