Id,DataPagamento,TipoRecebimento,ClienteId,ValorTotal,DataVencimento,SaldoVencimento,DataFechamento,PostoId
FF35FA37-1CC5-4D6A-A574-AC1500BC3A9C,2020-08-12 00:00:00.000,Financeiro,68D32D93-E8DD-4D51-99FF-ABEC009A6406,1510,75,NULL,-936,3
161620A1-1109-4046-A111-AC3300C84BE8,2020-09-11 00:00:00.000,Financeiro,68D32D93-E8DD-4D51-99FF-ABEC009A6406,1273,39,NULL,-1683,39
C1BF505F-A502-4255-8FA6-AC3F0112041A,2020-09-23 00:00:00.000,Financeiro,B3FAA3C3-14FE-4593-A833-ABEA012EDEBA,40178,73,NULL,-61458,77
CA24CDB2-D7D7-4832-B5F4-AC4800CFC3D1,2020-10-02 00:00:00.000,Financeiro,D281C2D1-D58F-4DA9-B86C-ABEA0133FDDA,2739,69,NULL,-6370,15
FE9D1E28-C184-436E-AF12-AC70009BC972,2020-11-11 00:00:00.000,Financeiro,923872AD-60F7-4699-A3E2-ABEB00985FDB,11479,32,NULL,-11745,14
C3088BAB-63AA-48AA-B6C5-AC7000A5AE90,2020-11-11 00:00:00.000,Financeiro,49218B4A-B6D4-416F-A2DC-ABEA013A8D60,438,1,NULL,-696,13
BECCD6A4-C64E-4EFB-B5A7-AC7100A38697,2020-11-12 00:00:00.000,Financeiro,B3FAA3C3-14FE-4593-A833-ABEA012EDEBA,46172,19,NULL,-60322,88
07FFF9A6-48FD-4821-8911-AC7100A55A24,2020-11-12 00:00:00.000,Financeiro,033A17EA-4A67-490C-865B-ABEA012635D0,4961,43,NULL,-8024,45
0D22ED29-54D2-4F5E-949F-AC7100A5AE09,2020-11-12 00:00:00.000,Financeiro,68D32D93-E8DD-4D51-99FF-ABEC009A6406,1263,05,NULL,-1413,05
1BF11490-380E-4567-8451-AC7D00FC1525,2020-11-24 00:00:00.000,Financeiro,D281C2D1-D58F-4DA9-B86C-ABEA0133FDDA,1270,68,NULL,-2683,34
40226F0C-1096-4852-BCA7-AC7D01000A94,2020-11-24 00:00:00.000,Financeiro,870CA34A-C6B0-4CC8-A309-ABEA0135DCF1,1164,31,NULL,-2069,84
7ACF9A3C-DEC7-4EA1-AFE6-ACE500F53F40,2021-03-08 00:00:00.000,Financeiro,D281C2D1-D58F-4DA9-B86C-ABEA0133FDDA,246,45,NULL,-246,44999
04760406-153B-4F40-B144-ACE600B5B71A,2021-03-09 00:00:00.000,Financeiro,033A17EA-4A67-490C-865B-ABEA012635D0,2058,7,NULL,-3674,56
3EE7706C-0412-4435-9E55-ACE600B72A71,2021-03-09 00:00:00.000,Financeiro,AE8FFD68-A9BD-4B56-9E65-ABEA013340E8,3558,22,NULL,-3842,NULL
5835C4FD-0947-4CB5-9871-ACE700F03A5F,2021-03-10 00:00:00.000,Financeiro,68D32D93-E8DD-4D51-99FF-ABEC009A6406,1376,68,NULL,-1744,05
15B4888D-0643-44CA-8C18-ACE70107C6DD,2021-03-10 00:00:00.000,Financeiro,B3FAA3C3-14FE-4593-A833-ABEA012EDEBA,28036,43,NULL,-44675,76
DEB28F48-C855-4352-85C1-ACE800AC39BA,2021-03-11 00:00:00.000,Financeiro,E301EFE6-6EEC-4B19-AF33-ABEB01071D27,1856,95,NULL,-1808,33
C8415F80-74A1-4FE0-BBC0-ACE800AC8165,2021-03-11 00:00:00.000,Financeiro,E301EFE6-6EEC-4B19-AF33-ABEB01071D27,-48,6,NULL,48,62
2E578782-0558-47C8-944B-ACEC00FB279E,2021-03-15 00:00:00.000,Financeiro,F0A46332-3122-4935-BCB9-ABAF00E8007D,13801,53,NULL,-19904,42
3E40BCB4-3EB2-4255-98EC-ACF4008C13FD,2021-03-23 00:00:00.000,Financeiro,033A17EA-4A67-490C-865B-ABEA012635D0,3002,68,NULL,-4416,18
103B722F-C660-4536-81B7-ACF7011243D0,2021-03-26 00:00:00.000,Financeiro,B3FAA3C3-14FE-4593-A833-ABEA012EDEBA,26843,68,NULL,-36506,63
56BC0D2A-2073-447D-BFEA-ACFB00A7A5B8,2021-03-30 00:00:00.000,Financeiro,AE8FFD68-A9BD-4B56-9E65-ABEA013340E8,399,23,NULL,-1091,74
3E94AA0B-FD5C-4768-B1E3-AD050086CEBC,2021-04-09 00:00:00.000,Financeiro,033A17EA-4A67-490C-865B-ABEA012635D0,3769,88,NULL,-5291,14
AC074519-ED30-4DCC-90C9-AD0800C09D03,2021-04-12 00:00:00.000,Financeiro,68D32D93-E8DD-4D51-99FF-ABEC009A6406,1969,61,NULL,-2144,06
713412E8-6B03-4F92-8E38-AD0A009B4DE3,2021-04-14 00:00:00.000,Financeiro,A8A52A07-DCD8-48E3-9489-ABAF00E3A270,4785,NULL,-17470,38,NULL
CFFAE2DA-BAB0-4B6E-B6A8-AD0B008902A5,2021-04-15 00:00:00.000,Financeiro,B3FAA3C3-14FE-4593-A833-ABEA012EDEBA,8805,1,NULL,-25856,54
DDE6F55C-A200-4AB3-8D2B-AD0B00BDBD3D,2021-04-15 00:00:00.000,Financeiro,A8A52A07-DCD8-48E3-9489-ABAF00E3A270,15171,59,NULL,-15171,59
68AB7574-3A33-4E09-BB06-AD0C00A33F15,2021-04-16 00:00:00.000,Financeiro,E301EFE6-6EEC-4B19-AF33-ABEB01071D27,843,5,NULL,-1083,02
D1299BC6-41B3-4316-8A3B-AD0C00A39D10,2021-04-16 00:00:00.000,Financeiro,D281C2D1-D58F-4DA9-B86C-ABEA0133FDDA,35,NULL,-450,NULL,6604EF36-5513-445C-86CF-A6F7C15CD5DE
