Descricao,Id
Indefinido,8BFDD424-D556-4B10-A1CC-954797BE2C3B
Cervejas e similares,65BC8FCC-A4B2-4D12-9C95-6D86716969B3
Bebidas grandes,1BFA0F19-BD46-474E-8CD5-CC64A7BF6E3C
Bebidas médias,32FFD79A-ED9E-4AB0-826D-070D5A6634BD
Bebidas pequenas,EC4B6AB8-D013-4C09-B15B-D9F4C853CC62
Armário Lubrificante,95371544-3A72-4C66-82C5-A1362665D6DD
Salgadinhos,2F32883A-61FD-45D4-9A2E-762D81222C98
Chicletes e Balas,A48DF81E-367B-476B-9DBF-7ED05D3463E4
Cervejas,FB96FB71-E8B9-42ED-B5D1-022874C8ED65
Gelo,68762AAF-02E2-446D-B646-8EB42582B9F2
Sadia,2771029C-38E9-449B-8643-0EF9E074A567
Ice Bom,22674988-9469-418F-94E6-91D5A3A23925
Aromatizante,FAF5003B-679A-4345-91E7-4DC50E4513F9
Skol - Cervejas,BABA237E-7399-4102-BE38-A61F53B6DF70
Skol - Refrigerantes,26AF7EC3-4C01-414D-933A-0C79CA5AD6D5
Coca-cola - Cervejas,481107F8-BE3A-48CF-AA38-487B6570C710
Coca-cola - Refrigerantes,916EF728-9F2B-49AA-9A4C-705ED4C6E7CB
Geladeira Branca,1DAE6601-5EFB-41AB-9BFA-C5F8962C2884
Chocolates,4C244BEA-3818-4DD8-A2F4-C329854D1BD2
Bebidas,7D7823EE-C78B-4B1B-803B-033F5D8E0450
Armário Conveniência,1EDF6F43-B496-4838-B710-7C4E37677C22
Granel,A1F87EE1-C3AF-4294-88CE-AC36012A7801
