Id,Codigo,Excecao,Tipo,Descricao,AliquotaNacionalFederal,AliquotaImportadosFederal,AliquotaEstadual,AliquotaMunicipal,InicioVigencia,FimVigencia,Chave,Versao,Fonte,Vencido
2A5B2696-38A5-424F-B3F7-000FA2F53575,3702.54.99,NULL,0,Outs.filmes p/foto cores,n/impr.16<l<35mm,c<=30m,rolos,16.06,20.52,18.00,0.00,2016-07-01,2023-03-06,ca7gi3
5E1E5D0C-8BA7-4769-9D2D-001173BAEB2F,2530.90.30,NULL,0,Minerais de metais das terras raras,4.20,8.32,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
0C4FAE93-042B-46A8-8A83-00175A986662,8802.30.29,NULL,0,Outros avioes a turboelice,etc.7t<peso<=15t,vazios,6.34,15.29,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A
72A67F2B-8A33-4E2E-B15E-00192160F2DC,2809.20.20,NULL,0,Acido metafosforico,13.45,17.41,12.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
034A0630-0176-4275-A096-0022D58243E8,4418.10.00,NULL,0,Janelas,janelas de sacada,caixilhos,etc.de madeira,13.45,18.52,12.00,0.00,2016-07-01,2023-03-06,ca7gi3
5808D9A0-F096-4190-8DC2-002949166531,0303.82.00,NULL,0,Raias,congeladas,4.20,8.34,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT
4DB9EC02-0234-48F3-8818-002ADA06A877,8448.39.29,NULL,0,Partes e acess.de outs.maqs.de bobinar ou de dobar,5.54,12.00,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
C384CF19-9FB1-48F2-A2D8-002F86EDBD17,2915.90.39,NULL,0,Outs.sais e esteres dos acidos miristico ou caprilico,4.20,8.16,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
18787400-DA74-4C1C-A15D-0031ACD560C8,2937.22.21,NULL,0,Acetonida da triancinolona,4.20,8.16,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
F8F34FB9-F30C-4497-9F79-0037C29623A8,0302.39.00,NULL,0,Outs.atuns frescos,refrig.exc.files,outs. carnes,etc.,4.20,15.29,7.00,0.00,2016-07-01,2023-03-06,ca7gi3
81C5BF8F-A951-418B-9C76-00381EB217DC,2903.77.23,NULL,0,Pentaclorofluoretano,4.20,8.16,18.00,0.00,2016-07-01,2023-03-06,ca7gi3,16.1.A,IBPT,0
