Id,NaturezaOperacao
736E16AF-C516-4B74-9B10-01A4EBDE9D8B,Outras Saídas
B311F775-0574-4133-A4D3-4D72348109C1,Simples Faturamento
DE71F74F-0AD5-4983-9C8A-4E4328C3A2A6,Anulação de valor relativo a serviço de transporte
E1B25916-7CE2-4AB4-A96D-58C8F55DA98B,Remessa para troca em garantia
12CBE8B8-333C-45E9-A57D-62BB0D8D7E7C,Devolução de compra para comercialização
EFA6663E-79EF-4245-80F7-7B36F13E6C1C,Transferência
8E8BC4DA-8A1D-4F2C-A0C5-7B8D04E062FA,Devolução de compra de bem para o ativo imobilizado
5874E2B2-367E-4554-AF22-94E7B81CCE04,Brinde ou bonificação
587AE4CD-0802-433C-AC76-965C7616E2F8,Perda
CA701D2C-28C6-4A98-8A93-97BF3CEEA95E,Devolução de compra de material de uso ou consumo
3811592B-1650-4A45-90E2-99ABCB9C673E,Venda de ativo
1B0533F6-5054-40FF-8871-9BC2FC2E694C,Entrada de devolução
9029881C-C73F-4625-997D-9EA802D353F7,Consumo próprio
A06E8195-F245-42ED-A1F5-A39021F77278,Devolu??o de compra de combust?vel ou lubrificante
438BC31A-FC52-46DF-B453-C024F6039BB8,Devolução de compra de combustível ou lubrificante
F0C847A5-968B-464F-B435-CB52B939A846,Remessa para conserto
6001ADA7-3494-45D7-8B67-DD584944AD40,Outras Entradas
E25ACAB6-FA99-4CDC-BF73-DEDE30A32B0F,Compra de ativo
4C146C08-2EA7-4594-9C32-E42BFA58233A,Venda de combustível ou lubrificante
