CodigoBarras,Descricao,TipoProd,TipoAliquota,Aliquota,ordem,Ativo,UnidadeMedida,IAT,IPPT,CST,ValidacaoProdutos,NCM,PISCST,PISAliquota,COFINSCST,COFINSAliquota,CodigoANP,Id,IdGrupo,NumProduto,IdUnidadeMedida,IdProdutoImpostoNcm,IdProdutoDestinacao,IdCEST,idNCM,QuantidadeFracionada
9999999999999,Gasolina,CB,MO,1,22,1.0,1,LT,A,T,061,9999999999999LTGasolinaFF00ATCB060,2710.12.59,04,0,0.0,4.0,0.0,0.0,320102001.0,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,1FBC3D6F-2B4C-4E94-8BB8-23E5513F74E8,1,67307F9A-36C4-4C88-9C9C-E3FD8369129C,024C675B-01F2-4CE0-AA90-5876CCE29D84,C5B71CF0-2C08-4F1E-9118-434A3C2960C1
9999999999999,Gasolina Aditivada,CB,MO,1,22,2.0,1,LT,A,T,061,9999999999999LTGasolina AditivadaFF00ATCB060,2710.12.59,04,0,0.0,4.0,0.0,0.0,320102002.0,037981EC-C12A-4457-B5DF-F4BC0B99BFE9,1FBC3D6F-2B4C-4E94-8BB8-23E5513F74E8,2,67307F9A-36C4-4C88-9C9C-E3FD8369129C,024C675B-01F2-4CE0-AA90-5876CCE29D84,C5B71CF0-2C08-4F1E-9118-434A3C2960C1
000000151512,Etanol,CB,FF,0,00,3.0,1,LT,A,T,060,9999999999999LTEtanolFF00ATCB060,2207.10.10,04,0,0.0,4.0,0.0,0.0,810101001.0,D26D3DF1-058D-465E-A793-2C2C7C5BF6D8,1FBC3D6F-2B4C-4E94-8BB8-23E5513F74E8,3,67307F9A-36C4-4C88-9C9C-E3FD8369129C,E8073BFE-EEE1-41F7-87AE-2D86AF9FCA3A,C5B71CF0-2C08-4F1E-9118-434A3C2960C1
9999999999999,Diesel S500,CB,MO,0,9456,5.0,1,LT,A,T,061,9999999999999LTDiesel S500FF00ATCB060,2710.19.21,06,0,0.0,6.0,0.0,0.0,820101012.0,20593EF4-EB4F-4909-BB7A-376017870A22,1FBC3D6F-2B4C-4E94-8BB8-23E5513F74E8,4,67307F9A-36C4-4C88-9C9C-E3FD8369129C,5D6CD79A-DD4C-45FA-8CFF-E15A6A0FC539,C5B71CF0-2C08-4F1E-9118-434A3C2960C1
9999999999999,Diesel S10,CB,MO,0,9456,6.0,1,LT,A,T,061,9999999999999LTDiesel S10FF00ATCB060,2710.19.21,06,0,0.0,6.0,0.0,0.0,820101034.0,91A2EBF2-1146-41B8-9D75-F4A3560262BB,1FBC3D6F-2B4C-4E94-8BB8-23E5513F74E8,5,67307F9A-36C4-4C88-9C9C-E3FD8369129C,5D6CD79A-DD4C-45FA-8CFF-E15A6A0FC539,C5B71CF0-2C08-4F1E-9118-434A3C2960C1
9999999999999,Diesel S10 Aditivado,CB,FF,0,00,8.0,0,LT,A,T,061,9999999999999LTDiesel S10 AditivadoFF00ATCB060,2710.19.21,04,0,0.0,4.0,0.0,0.0,820101033.0,89CFDF70-3CAB-4AC9-AEA7-A8C0031F819E,1FBC3D6F-2B4C-4E94-8BB8-23E5513F74E8,6,67307F9A-36C4-4C88-9C9C-E3FD8369129C,5D6CD79A-DD4C-45FA-8CFF-E15A6A0FC539,C5B71CF0-2C08-4F1E-9118-434A3C2960C1
9999999999999,Diesel S500 Aditivado,CB,MO,0,9456,7.0,0,LT,A,T,061,9999999999999LTDiesel S500 AditivadoFF00ATCB060,2710.19.21,06,0,0.0,6.0,0.0,0.0,820101013.0,BE2F7FC5-B572-4D21-8628-F1763C4CBED6,1FBC3D6F-2B4C-4E94-8BB8-23E5513F74E8,7,67307F9A-36C4-4C88-9C9C-E3FD8369129C,5D6CD79A-DD4C-45FA-8CFF-E15A6A0FC539,C5B71CF0-2C08-4F1E-9118-434A3C2960C1
7891149200504,Skol 350ml,IN,FF,0,00,0.0,1,,T,T,060,78911492005040b91672f-8e6a-4103-a7c0-d6fcd14323d5Skol 350ml FF0TTLC060,2203.00.00,6,0,0.0,6.0,0.0,0.0,,7A01411A-BDC8-497B-9219-6323C202690C,6DB07F0F-8A43-4D55-B7A3-EC74D4EF0D07,8,0B91672F-8E6A-4103-A7C0-D6FCD14323D5,,C5B71CF0-2C08-4F1E-9118-434A3C2960C1
7894900010015,Coca-cola 350ml,IN,FF,0,00,0.0,1,,T,T,060,78949000100150b91672f-8e6a-4103-a7c0-d6fcd14323d5Coca-cola 350ml FF0TTLC060,2202.10.00,6,0,0.0,6.0,0.0,0.0,,C72F7F66-38CC-4ED4-BC92-8F065FAEF89D,6DB07F0F-8A43-4D55-B7A3-EC74D4EF0D07,9,0B91672F-8E6A-4103-A7C0-D6FCD14323D5,0BA20DFE-BCA5-425B-8FE3-AC1DEC680155,C5B71CF0-2C08-4F1E-9118-434A3C2960C1
7891149201006,Skol 473ml,LC,FF,0,00,0.0,1,,T,T,060,78911492010060b91672f-8e6a-4103-a7c0-d6fcd14323d5Skol 473ml FF0TTLC060,2203.00.00,6,0,0.0,6.0,0.0,0.0,,3D8BE3B3-88C0-4AD8-8F20-FD514FC31C08,6DB07F0F-8A43-4D55-B7A3-EC74D4EF0D07,10,0B91672F-8E6A-4103-A7C0-D6FCD14323D5,,C5B71CF0-2C08-4F1E-9118-434A3C2960C1
