Id,IdEntidade,Idproduto,CodigoProdutoFornecedor,IdPosto
A9ADB330-95BF-420C-AF22-1BCDAA06CD58,077ADF27-CC4D-4742-A75D-6B4266B33971,9D059704-356A-439A-8D97-AE3F00B9022C,211,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
FA4FDF76-2F11-4D04-A8B0-286ED3DBA51D,7F5242A3-43F2-466C-BDE6-A2ED009DB20E,F79BEE72-C0D0-44E7-ABA3-AEAC0102BEB2,2496,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
B403809A-C0FE-4703-988A-3163C970F680,7F5242A3-43F2-466C-BDE6-A2ED009DB20E,754D80D3-0D1C-4343-BC62-AEAC01037856,8312,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
68E41104-662F-4B16-8B25-48BF6440FBF7,80A820EA-6556-436E-97AF-A824013BD4CE,94C86ED1-1F41-4794-916B-AD56010117D0,1192,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
10E65B61-40FB-490B-BDBE-4B15EC93215B,B6C89A36-62CF-4D50-B5C9-114ADBD981CE,FFCCB019-0495-43F4-8CCB-A5B1010A3C5E,7571,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
652103E4-93D3-482E-8DEA-4DDB438058E9,077ADF27-CC4D-4742-A75D-6B4266B33971,B0008E7F-739E-4B95-9ECF-AE3F00BA141B,058,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
1F964156-27F9-4031-84AE-58C67BB636A6,B428EC4C-9D3D-4C41-8308-AE7700F7AA21,76619D41-6DBD-47CD-94ED-AF430080A4EF,0010,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
D077ECE7-1920-475D-9A26-5C288F1AE32B,9CD964A5-D626-43BD-B0B5-A5BD0112C9BE,037981EC-C12A-4457-B5DF-F4BC0B99BFE9,06,,
074D4400-4DEE-494C-BF64-6216EFCFA96C,5F77EBB8-7B95-4E9E-A07D-0BB16A2D39E5,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,29c0a38c-00a1-4b9f-8c70-a7c20dcc6f54,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
00503A22-EA87-4B82-891B-732823DE19EA,29B61A95-AE5D-4D90-B51E-A776011BFB39,37C0F776-1343-4CEF-BEAE-A5B50080FA94,001-002381176,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
0A53C9CE-C084-4C57-BC42-7457796F46E7,E24121C4-187B-45D1-A627-ACE000BABAE4,C520FE58-DB08-4AD7-8493-AAFF0100026F,000591,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
CD91930E-6E3B-43F4-BA6D-77F40F9F7395,3DD049C5-E14D-45F4-AD9A-3A38D3CA4545,CC01BF2D-4D09-417F-8A9E-A74D012764F9,001-003729796,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
36F91579-A303-4A42-BFA4-8089A26E64F2,98717083-CA61-4A75-AA59-AE2E0108240C,A4A25128-221F-4A43-8BC0-AE3800F8ECC4,4,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
3CB4DA16-48AA-4ED2-9A35-86187B41CA86,7F5242A3-43F2-466C-BDE6-A2ED009DB20E,6E6F8676-52A5-419B-9076-AEAC01042F2E,11473,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
844A24A7-EC8B-45F5-AC91-8ACF70040639,7F5242A3-43F2-466C-BDE6-A2ED009DB20E,C70CAC20-AF64-4B92-B5BB-AEAC0104D59E,3882,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
F8A5F973-E238-4BCB-95C7-8E702B21BFF4,077ADF27-CC4D-4742-A75D-6B4266B33971,BB6C6672-E21D-439D-A83E-AE3F00BBCC7A,113,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,
