NumTanque,Capacidade,Ativo,InativoEm,Medicao,Id,IdPosto,IdProduto,CapacidadeReal,PuxaAte,DataFabricacao
1,30000,1,NULL,11967,884,17E2F046-F109-40F4-A647-1684ABE12FA0,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,30000,100,NULL
2,15000,1,NULL,11966,119,23AF1753-1EC7-42EA-BE45-2CCAB0995DF5,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,0230E40C-C457-467A-9569-AF34008CE259,15487,100,NULL
3,15000,1,NULL,10116,533,284D3B9C-1B8D-4E62-B168-D9C52654E757,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,037981EC-C12A-4457-B5DF-F4BC0B99BFE9,15518,100,NULL
8,15000,0,2017-04-04 00:00:00.000,-5216,021,DC9B92F8-0BE6-4A06-B9CB-6A81FE4CFB90,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,BE2F7FC5-B572-4D21-8628-F1763C4CBED6,0,0,NULL
5,15000,1,NULL,13298,86,FB077DF4-BAAA-4395-A345-36DA64691913,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,D26D3DF1-058D-465E-A793-2C2C7C5BF6D8,15644,100,NULL
9,15000,0,2017-04-11 00:00:00.000,-3567,79101,7D90289A-8750-4EE7-AB01-7FA098CC2E5E,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,89CFDF70-3CAB-4AC9-AEA7-A8C0031F819E,0,0,NULL
1,15000,1,NULL,551,8738C9B9-594E-477A-A8A8-1A9D09497C71,D3FC958D-6348-4012-8853-0357B35D2283,20593EF4-EB4F-4909-BB7A-376017870A22,0,0,NULL
2,15000,1,NULL,4575,226,7B22EE05-AB6A-4D57-BC1F-5B7D0EE9506B,D3FC958D-6348-4012-8853-0357B35D2283,D26D3DF1-058D-465E-A793-2C2C7C5BF6D8,0,0,NULL
3,20000,1,NULL,6429,428,A9D16C4A-C9AB-4B9F-90F9-AC79DDA8EA06,D3FC958D-6348-4012-8853-0357B35D2283,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,0,0,NULL
1,15000,1,NULL,7582,D11DFCD9-6F57-4FC6-99E8-0927A1951E51,1B577D19-B0B2-4263-9E0A-B5F0847268E8,D26D3DF1-058D-465E-A793-2C2C7C5BF6D8,0,0,NULL
2,15000,1,NULL,5810,FE3585CE-F7BB-4A92-A44E-1D785D41176E,1B577D19-B0B2-4263-9E0A-B5F0847268E8,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,0,0,NULL
3,15000,1,NULL,7800,0A03A5A5-EBA6-467C-B0E7-F1D5B5453BDA,1B577D19-B0B2-4263-9E0A-B5F0847268E8,20593EF4-EB4F-4909-BB7A-376017870A22,0,0,NULL
1,15000,1,NULL,11418,033,A4B5BA9E-C023-4C66-82C6-6A78CF4956EF,2F278A05-2711-43BE-A8CC-6A12CB8B2133,20593EF4-EB4F-4909-BB7A-376017870A22,0,0,NULL
2,15000,1,NULL,5795,989,433A22C5-8F49-4EB1-83CB-D7E006943ECD,2F278A05-2711-43BE-A8CC-6A12CB8B2133,D26D3DF1-058D-465E-A793-2C2C7C5BF6D8,0,0,NULL
3,15000,1,NULL,10910,412,FA238C5A-7ED0-4905-9445-2DB0F2D6824D,2F278A05-2711-43BE-A8CC-6A12CB8B2133,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,0,0,NULL
4,15000,1,NULL,6129,515,C544AA01-064B-4F41-8DCB-FBC0DB8F0DBB,2F278A05-2711-43BE-A8CC-6A12CB8B2133,D26D3DF1-058D-465E-A793-2C2C7C5BF6D8,0,0,NULL
5,15000,1,NULL,2395,EC1AB489-4EC9-4906-8BDC-B35AE8E1206D,2F278A05-2711-43BE-A8CC-6A12CB8B2133,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,0,0,NULL
7,15000,0,2013-07-10 00:00:00.000,0,2D0C4F6F-382A-42EF-886D-39C3D11D9AE0,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,0,0,NULL
1,15000,1,NULL,11213,757,95C6F067-2C99-4AE3-9DC8-56AC866DE5A6,D3FC958D-6348-4012-8853-0357B35D2283,91A2EBF2-1146-41B8-9D75-F4A3560262BB,0,0,NULL
4,15000,1,NULL,6846,84,54369331-0173-463A-98B2-2CC3C017FEB2,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,20593EF4-EB4F-4909-BB7A-376017870A22,15541,100,NULL
1,15000,1,NULL,3210,127C295D-3C73-48E8-96BF-2DBA9B4F3030,2F278A05-2711-43BE-A8CC-6A12CB8B2133,91A2EBF2-1146-41B8-9D75-F4A3560262BB,0,0,NULL
5,15000,1,NULL,6650,564,F54648FC-38BC-4E27-A0B3-B08AD7DAED8D,2F278A05-2711-43BE-A8CC-6A12CB8B2133,037981EC-C12A-4457-B5DF-F4BC0B99BFE9,0,0,NULL
6,15000,1,NULL,11217,492,72595B25-40DB-4F18-8AFD-FDED7C17255B,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,91A2EBF2-1146-41B8-9D75-F4A3560262BB,15700,100,NULL
1,15000,1,NULL,4372,18,BBB35219-810C-40AD-981F-D0315051EBE5,D3FC958D-6348-4012-8853-0357B35D2283,89CFDF70-3CAB-4AC9-AEA7-A8C0031F819E,NULL,NULL,NULL
1,15000,1,NULL,1719,737,6875363C-4C1E-42F6-9683-1C2C86645483,2F278A05-2711-43BE-A8CC-6A12CB8B2133,89CFDF70-3CAB-4AC9-AEA7-A8C0031F819E,0,0,NULL
3,15000,1,NULL,10102,0FE578CC-4536-42AE-9F42-0B48C99AAE83,1B577D19-B0B2-4263-9E0A-B5F0847268E8,89CFDF70-3CAB-4AC9-AEA7-A8C0031F819E,NULL,NULL,NULL
10,30000,0,2015-12-18 00:00:00.000,1064,C6FF0323-7A02-4CB0-B13B-CB5EC13B653E,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,D26D3DF1-058D-465E-A793-2C2C7C5BF6D8,0,0,NULL
11,15000,0,2015-12-18 00:00:00.000,-911,48,22E5B659-AB43-47AC-852B-66AB4F7C46F7,NULL,NULL,NULL,NULL,NULL
11,15000,0,2015-12-18 00:00:00.000,-911,48,29737224-649D-4063-8692-27714C6976EA,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,29C0A38C-00A1-4B9F-8C70-A7C20DCC6F54,0,0,NULL
1,30000,1,NULL,21266,263,4000F336-88D2-47E5-B816-45105B6B1F90,D3FC958D-6348-4012-8853-0357B35D2283,D26D3DF1-058D-465E-A793-2C2C7C5BF6D8,0,0,NULL
5,15000,1,NULL,10802,334,47014760-3910-4BAD-A459-D37B0AD555B6,D3FC958D-6348-4012-8853-0357B35D2283,037981EC-C12A-4457-B5DF-F4BC0B99BFE9,0,0,NULL
2,15000,1,NULL,6565,909,5CFD3B38-D609-46B4-AC70-86FB613E0FCC,D3FC958D-6348-4012-8853-0357B35D2283,20593EF4-EB4F-4909-BB7A-376017870A22,0,0,NULL
4,15000,1,NULL,8749,985,797C598A-C4D0-409A-9FF9-B432A82075D0,D3FC958D-6348-4012-8853-0357B35D2283,91A2EBF2-1146-41B8-9D75-F4A3560262BB,0,0,NULL
