IdTurno,Descricao,Id,IdPosto,IdPontoVenda,HoraInicio,HoraFim,DataAlteracao,HorarioAtivoInicio,HorarioAtivoFim,Ativo
1,Caixa 1,A7E754F5-9BF1-43DF-840E-67427BB5CB2B,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3,06:00,14:40,2021-02-20,06:00,14:00,1
2,Caixa 2,DF06AABB-25F1-44BE-93B9-2144ADCFB7E3,A94EB478-1BCF-4A4E-9039-0748EC51BBE0,7BE8CF79-AC07-4D19-8B2A-A9E3E2E598A3,14:00,22:20,2021-02-20,14:20,22:00,1
1,Caixa 1,CAB143E4-B713-470B-AFC5-1E8099E601BF,2F278A05-2711-43BE-A8CC-6A12CB8B2133,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,Caixa 2,A5002829-04AC-483B-ACF4-E51741700A18,2F278A05-2711-43BE-A8CC-6A12CB8B2133,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,Caixa 3,33544E7B-2BC5-45B0-AA1D-1F84DFA0CF2E,2F278A05-2711-43BE-A8CC-6A12CB8B2133,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,Caixa 1,2F6FCA62-5984-4F9A-A440-0F3DD1FDAB65,D3FC958D-6348-4012-8853-0357B35D2283,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,Caixa 2,88A2E721-EA8E-475A-8885-3BFE0BB7027E,D3FC958D-6348-4012-8853-0357B35D2283,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,Caixa 1,6E8FFFA5-8B4D-4F55-A972-9C9381A17F31,F3C74BF8-7C14-44C6-8AD8-03172496F650,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,Caixa 2,909FB240-D253-42CA-9DEF-8F8D3CB89B97,F3C74BF8-7C14-44C6-8AD8-03172496F650,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,Caixa 3,388EFC47-8EBF-49B8-9C00-297CEC822233,F3C74BF8-7C14-44C6-8AD8-03172496F650,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,Caixa 1,B4A8F800-4E8A-4EDD-8CA9-CA7D005E6F6D,1B577D19-B0B2-4263-9E0A-B5F0847268E8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,Caixa 2,2D997448-E781-4660-B066-82FCD5DD134B,1B577D19-B0B2-4263-9E0A-B5F0847268E8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,Caixa 3,B6A2ADF8-718F-462F-AA08-2EF2D0230FB5,1B577D19-B0B2-4263-9E0A-B5F0847268E8,NULL,NULL,NULL,NULL,NULL,NULL,NULL

