Sigla,Estado,Id,Codigo
RR,Roraima,1CB0E09E-F43D-41A1-838B-C2852D14D55D,21
AM,Amazonas,6DEDB816-710E-405C-8BE8-70EAF1BEEF80,3 
SE,Sergipe,92434030-9B81-4FFC-98C8-6A522ED345DF,25
MS,Mato Grosso do Sul,B197B70D-1D21-44FA-B1F4-AD597264804A,12
RN,Rio Grande do Norte,E23EFCED-1549-45A8-9589-8695812DBC72,20
RJ,Rio de Janeiro,9447D9EF-D8D5-4B79-97CE-2530AD3E2F49,19
DF,Distrito Federal,E541BDC0-6DEB-490F-B2B1-02DC6D54A02F,7 
SC,Santa Catarina,334F1B0E-7EB9-4682-8E52-E74ABDAB950F,24
AL,Alagoas,9A7A55FB-1063-4218-9E73-1C085CEE6901,2 
PR,Paraná,4043DC77-34B7-46F3-8831-4FE18880B865,18
PA,Pará,202511B9-61E2-4828-99F9-9124BA183CE7,14
TO,Tocantins,037EE6C9-4D78-41D2-B917-BC15F6B6B3CE,27
SP,São Paulo,8C375610-E93F-4958-831F-95992235C542,26
PI,Piauí,90299E9F-2E78-4EA1-98BF-1BF955F27386,17
GO,Goiás,83E2A341-8AF9-4A7A-85C8-9A0DFD4D20FF,9 
ES,Espírito Santo,27D0715B-E126-4013-805D-06BC05182AB9,8 
MA,Maranhão,4E1BBD67-BD06-4D66-99AA-EA8B376664D1,10
MT,Mato Grosso,D1CDAEAC-8707-4523-B582-76505AA287F8,13
CE,Ceará,F2DE9B6A-BF37-4A34-84E8-A7E160E7D591,6 
AP,Amapá,F5DDBEE0-ECF6-4CDC-8784-5D91FDC95C46,4 
MG,Minas Gerais,033CC267-0567-4745-9CED-D032623CF449,11
AC,Acre,85B90A0E-C282-423C-BD23-A826C7DA8E54,1 
PB,Paraíba,AA4F17E9-1AD9-420F-BBE9-B1C1BA7531F1,15
BA,Bahia,EFCE05B5-BC73-4553-9C41-9BA11B1C5C1F,5 
RS,Rio Grande do Sul,6E58E7AF-339A-487A-80F6-0F7E9DBB0A30,23
RO,Rondônia,C34E5945-1E12-4F87-B26B-F26B75B51C65,22
PE,Pernambuco,D0645F1E-BF0F-46D1-8659-DE9869F23081,16

