Descricao,Placa,Id,IdTransportadora,Ativo
,PXH-3280,0B8209C0-C2D1-498E-87FA-ABC701128311,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,0
,PXM-7155,B40E29ED-0F39-4ED6-9113-ABC80108C221,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,0
,FPD9215,5490F190-501B-4A12-BC40-AC0600FDFC1E,85CA8424-1EB5-4DB0-AE4B-ABC00117F462,0
,FPD9215,FB5B12A5-EF9D-4387-A870-AC0801187F2D,85CA8424-1EB5-4DB0-AE4B-ABC00117F462,1
,FOK 2886,BFCE46DE-4A5E-48F9-9696-AC0801187F32,85CA8424-1EB5-4DB0-AE4B-ABC00117F462,1
,EXW-0998,2918DF2B-5104-482A-9B8C-AC1B01091A5D,32CD6198-96EC-4347-B9DF-ABC0011693B8,1
,QPX-2249,576C0661-ACE4-408A-8CD0-AD89010FC9C6,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
,QXY-8i03,C11DFB43-8CD5-4A7C-9CBF-AD89010FC9D5,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
,QUZ-1786,26C87E5F-4E38-483C-8060-AE1300BBCBC3,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
,FTP-5389,BDF52A53-0262-462D-B5A3-AE7C01283AB5,32CD6198-96EC-4347-B9DF-ABC0011693B8,0
,FTP-5389,33787A90-1BE8-42BD-8920-AE7C01283FA9,32CD6198-96EC-4347-B9DF-ABC0011693B8,1
,RUG–8F98,3C1EF400-5201-4377-8CB2-AECB008D648E,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
,OQR-9951,2D796E03-AFCB-47AB-A8E5-AF31014B087A,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
,QUL-7945,BC355D47-F771-4850-B471-AFAF010A9E62,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,0
,QUL-7945,1D44A910-AB89-41CE-A666-AFAF010AA59D,CA81D56F-598F-42FA-AFF6-ABC00111D4C5,1
,BXF-4D06,DEE1BD92-124C-4BBF-B013-AFB90113258B,6B541FBF-8900-4703-812C-AFB900FEB78E,1
,EFW1B39,0DCFCB63-AE58-4BD5-AF6D-B03700C7FDC6,E2BAFEFB-3D88-4582-98C6-B03700C28C9E,0
,EFW1B39,76F14AF8-A76D-492C-87EB-B03700C80161,E2BAFEFB-3D88-4582-98C6-B03700C28C9E,0
,EFW1B39,29DD3415-2BE3-4648-8FF8-B03700C8E354,E2BAFEFB-3D88-4582-98C6-B03700C28C9E,1
,QXY8I03,B3B93CEE-8874-4D9D-842A-B05000DF811A,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
,RUG8F98,D2FED5D2-9153-43B6-8DD6-B05000DF811A,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
,QUZ1786,6B319FCB-212B-4E44-ADB9-B05000DF811F,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
,OQR9951,132B123F-0A8E-4364-B01B-B05000DF811F,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
,QPX2249,F733BE70-0319-4346-9E8C-B05000DF8124,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
,QUL7945,C8605B4E-5F16-4E94-BBFD-B05000DF8124,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,0
,QXY8I03,549A99EA-320E-4A67-9DD1-B05000DF816F,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
,RUG8F98,E65C88AB-A7E4-4B03-B2FF-B05000DF816F,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
,QUZ1786,24207968-5A1B-49BE-B881-B05000DF8173,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
,OQR9951,C3A408C1-5390-4181-9A42-B05000DF8173,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
,QPX2249,DE0F2D1D-92BD-4789-B657-B05000DF8178,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
,QUL7945,086FB76E-9214-492A-BBA3-B05000DF8178,B8148C44-E0B2-4DCF-A375-B05000DC0FBE,1
,FXV7B40,5D98F0A4-3FB3-4F4D-AA01-B0ED011DB908,474EA0BF-719D-4D0B-8FBD-B0ED011C2EF2,1
,EXW 0998,8059C619-A72A-49E8-A62C-AC0801187F36,85CA8424-1EB5-4DB0-AE4B-ABC00117F462,1
,OVS8630,AC46B295-A34F-4E3D-B9A4-AC0801187F3B,85CA8424-1EB5-4DB0-AE4B-ABC00117F462,1
